"","ethnicity","sex","agegrp","qualification","hours","income"
"1","European","female",45,3,30,644
"2","European","female",40,3,15,2671
"3","European","female",30,4,37.5,1019
"4","European","female",65,1,16,1033
"5","European","male",50,4,45,2405
"6","European","male",40,3,40,576
"7","Maori","female",45,3,40,540
"8","European","female",50,3,26,468
"9","Pacific","male",20,1,30,757
"10","European","male",15,2,30,871
"11","European","female",50,2,40,759
"12","European","male",25,3,15,289
"13","European","male",50,3,40,639
"14","European","male",60,3,45,1312
"15","European","female",30,4,21,373
"16","Pacific","female",55,4,40,1376
"17","European","female",35,3,2,39
"18","Maori","male",25,3,44,791
"19","European","female",25,3,53.5,2154
"20","Asian","male",65,1,20,396
"21","European","male",55,1,45,2174
"22","Maori","male",30,3,32,630
"23","Asian","male",35,4,41.5,1360
"24","European","female",50,2,4,66
"25","European","male",60,1,40,773
"26","Asian","female",25,4,15,446
"27","European","female",40,2,40,1122
"28","Maori","male",15,1,41.5,429
"29","European","male",35,3,40,1856
"30","European","female",20,2,55,1073
"31","European","female",55,2,40,924
"32","Asian","female",25,3,37.5,1350
"33","Asian","female",45,4,20,414
"34","Asian","male",55,3,42,1072
"35","Asian","male",20,2,17.5,250
"36","European","female",40,4,19,673
"37","European","male",25,2,12,330
"38","European","male",20,3,53,1049
"39","European","male",25,1,40,1092
"40","European","male",25,3,40,572
"41","European","female",25,2,45,555
"42","European","female",55,3,10,8980
"43","European","female",60,3,40,1026
"44","European","female",60,2,50,1283
"45","European","male",45,3,40,1184
"46","European","female",65,2,40,633
"47","Asian","female",40,1,50,1295
"48","European","female",30,3,40,968
"49","European","female",30,4,40,702
"50","European","male",20,1,5,76
"51","European","male",30,3,36,850
"52","European","female",45,4,12,2090
"53","Maori","female",25,2,30,766
"54","Maori","female",55,1,40,674
"55","European","female",40,3,20,213
"56","European","female",20,3,40,810
"57","European","female",25,2,30,516
"58","Asian","male",35,3,41.5,1271
"59","European","male",40,1,40,1234
"60","European","female",50,2,5,375
"61","Pacific","male",45,1,40,1681
"62","European","male",35,3,31,577
"63","European","male",60,3,45,932
