Town,Population.2006,Population.2018,Island
Ashburton,16240,20200,S
Auckland,1208094,1570100,N
Balclutha,3644,3990,S
Blenheim,28527,31600,S
Carterton,3877,5320,N
Christchurch,360768,404500,S
Dannevirke,5124,5360,N
Dargaville,4228,5180,N
Dunedin,110997,122000,S
Eltham,1678,2070,N
Fielding,13389,16850,N
Foxton,2464,4720,N
Gisborne,32529,37200,N
Gore,9623,9910,S
Greymouth,9995,9700,S
Hamilton,184908,241200,N
Hawera,9978,12150,N
Hokitika,3070,3590,S
Huntly,5651,8150,N
Invercargill,46773,51200,S
Kapiti,37347,42700,N
Levin,19172,21200,N
Marton,4226,4950,N
Masterton,19497,22200,N
Morrinsville,6083,7870,N
Napier-Hastings,118404,134500,N
Nelson,56367,67500,S
New Plymouth,49281,58300,N
Oamaru,12384,13950,S
Paeroa,3356,4410,N
Palmerston North,76032,86600,N
Pukekohe,22518,31400,N
Rangiora,9218,18300,S
Rotorua,53766,59500,N
Stratford,4865,5740,N
Taumarunui,4574,4720,N
Taupo,21291,24700,N
Tauranga,108882,141600,N
Te Aroha,3372,4350,N
Te Kuiti,3885,4640,N
Temuka,3919,4370,S
Timaru,26886,29100,S
Tokoroa,12356,14050,N
Waihi,3896,5150,N
Waimate,2750,2890,S
Waipukurau,3618,4220,N
Wairoa,3940,4290,N
Waitara,5652,7040,N
Wellington,360624,418500,N
Westport,4053,3960,S
Whakatane,17554,19750,N
Whanganui,38988,40900,N
Whangarei,49080,58700,N
